side sector tile interfaceBoard ch
1 6 8 9 20
1 6 9 9 5
1 6 10 9 21
1 6 11 9 6
1 6 12 9 22
1 6 13 9 7
1 6 14 9 23
1 6 15 9 8
1 6 16 9 24
1 6 17 9 9
1 6 18 9 25
1 6 19 9 10
1 6 20 9 26
1 6 21 9 11
1 6 22 9 27
1 6 23 9 12
1 6 24 9 28
1 6 25 9 13
1 6 26 9 29
1 6 27 9 14
1 6 28 9 30
1 6 29 9 15
1 6 30 9 31
1 6 31 9 0
1 7 0 9 48
1 7 1 9 33
1 7 2 9 49
1 7 3 9 34
1 7 4 9 50
1 7 5 9 35
1 7 6 9 51
1 7 7 9 36
1 7 8 9 52
1 7 9 9 37
1 7 10 9 53
1 7 11 9 38
1 7 12 9 54
1 7 13 9 39
1 7 14 9 55
1 7 15 9 40
1 7 16 9 56
1 7 17 9 41
1 7 18 9 57
1 7 19 9 42
1 7 20 9 58
1 7 21 9 43
1 7 22 9 59
1 7 23 9 44
1 7 24 9 60
1 7 25 9 45
1 7 26 9 61
1 7 27 9 46
1 7 28 9 62
1 7 29 9 47
1 7 30 9 63
1 7 31 9 32
1 8 0 10 16
1 8 1 10 1
1 8 2 10 17
1 8 3 10 2
1 8 4 10 18
1 8 5 10 3
1 8 6 10 19
1 8 7 10 4
1 8 8 10 20
1 8 9 10 5
1 8 10 10 21
1 8 11 10 6
1 8 12 10 22
1 8 13 10 7
1 8 14 10 23
1 8 15 10 8
1 8 16 10 24
1 8 17 10 9
1 8 18 10 25
1 8 19 10 10
1 8 20 10 26
1 8 21 10 11
1 8 22 10 27
1 8 23 10 12
1 8 24 10 28
1 8 25 10 13
1 8 26 10 29
1 8 27 10 14
1 8 28 10 30
1 8 29 10 15
1 8 30 10 31
1 8 31 10 0
1 9 0 10 48
1 9 1 10 33
1 9 2 10 49
1 9 3 10 34
1 9 4 10 50
1 9 5 10 35
1 9 6 10 51
1 9 7 10 36
1 9 8 10 52
1 9 9 10 37
1 9 10 10 53
1 9 11 10 38
1 9 12 10 54
1 9 13 10 39
1 9 14 10 55
1 9 15 10 40
1 9 16 10 56
1 9 17 10 41
1 9 18 10 57
1 9 19 10 42
1 9 20 10 58
1 9 21 10 43
1 9 22 10 59
1 9 23 10 44
1 9 24 10 60
1 9 25 10 45
1 9 26 10 61
1 9 27 10 46
1 9 28 10 62
1 9 29 10 47
1 9 30 10 63
1 9 31 10 32
1 10 0 11 48
1 10 1 11 33
1 10 2 11 49
1 10 3 11 34
1 10 4 11 50
1 10 5 11 35
1 10 6 11 51
1 10 7 11 36
1 10 8 11 52
1 10 9 11 37
1 10 10 11 53
1 10 11 11 38
1 10 12 11 54
1 10 13 11 39
1 10 14 11 55
1 10 15 11 40
1 10 16 11 56
1 10 17 11 41
1 10 18 11 57
1 10 19 11 42
1 10 20 11 58
1 10 21 11 43
1 10 22 11 59
1 10 23 11 44
1 10 24 11 60
1 10 25 11 45
1 10 26 11 61
1 10 27 11 46
1 10 28 11 62
1 10 29 11 47
1 10 30 11 63
1 10 31 11 32
1 11 0 7 16
1 11 1 7 1
1 11 2 7 17
1 11 3 7 2
1 11 4 7 18
1 11 5 7 3
1 11 6 7 19
1 11 7 7 4
1 11 8 7 20
1 11 9 7 5
1 11 10 7 21
1 11 11 7 6
1 11 12 7 22
1 11 13 7 7
1 11 14 7 23
1 11 15 7 8
1 11 16 7 24
1 11 17 7 9
1 11 18 7 25
1 11 19 7 10
1 11 20 7 26
1 11 21 7 11
1 11 22 7 27
1 11 23 7 12
1 11 24 7 28
1 11 25 7 13
1 11 26 7 29
1 11 27 7 14
1 11 28 7 30
1 11 29 7 15
1 11 30 7 31
1 11 31 7 0
